train_domain,test_group,snr_db,num_train_seeds,real_pooled_ber,a_pooled_ber,pooled_difference,pooled_ratio,mean_paired_seed_difference,std_paired_seed_difference,paired_ci95_low,paired_ci95_high,real_mean_seed_bce,a_mean_seed_bce,mean_paired_seed_bce_difference,std_paired_seed_bce_difference,paired_bce_ci95_low,paired_bce_ci95_high
tdl_mix,urban_all,12.0,3,0.015504625108506944,0.014014255853346836,0.0014903692551601084,1.1063466566299476,0.0014903692551601077,9.879256150666352e-05,0.0012449549274717614,0.001735783582848454,0.04160276837187049,0.035663491655371075,0.005939276716499418,0.0007644547042515148,0.004040265956671868,0.007838287476326969
tdl_mix,urban_all,14.0,3,0.011051177978515625,0.009617558232060185,0.0014336197464554397,1.1490627570807381,0.001433619746455439,6.413673693362247e-05,0.0012742952595240255,0.0015929442333868526,0.03232587007288303,0.026399752222875387,0.005926117850007648,0.0006720045828472825,0.004256765923224885,0.007595469776790412
tdl_mix,urban_all,16.0,3,0.008337326991705247,0.0069040840054735726,0.001433242986231674,1.2075935033663259,0.0014332429862316755,8.149802414546757e-05,0.0012307906710111668,0.0016356953014521841,0.026590164768061152,0.02067498710469262,0.005915177663368528,0.0009241304304158504,0.0036195104105101153,0.008210844916226942
tdl_mix,urban_all,18.0,3,0.00661817009066358,0.00519844337745949,0.00141972671320409,1.273106122375025,0.0014197267132040898,9.678495749369516e-05,0.001179299550354807,0.0016601538760533726,0.022723850585020116,0.0170084140601246,0.005715436524895513,0.0011015813806694484,0.002978956674509628,0.008451916375281398
tdl_mix,urban_all,20.0,3,0.005560792522665895,0.004102306601441937,0.001458485921223958,1.355528258348927,0.0014584859212239583,0.00014466405969982716,0.0010991204749752016,0.001817851367472715,0.019998862515534215,0.014674767806916211,0.005324094708618006,0.001170820368352755,0.002415615677798134,0.008232573739437879
umi_uma_mix,in_domain,-10.0,3,0.3962520081319927,0.3998247782389323,-0.0035727701069396267,0.9910641603487501,-0.0035727701069396267,0.0004626817365575162,-0.004722135257303509,-0.0024234049565757445,0.6575608591974517,0.6595691339469251,-0.0020082747494732933,0.00028828751998110193,-0.002724420649712258,-0.0012921288492343287
umi_uma_mix,in_domain,-8.0,3,0.3659141446337288,0.3677948374807099,-0.0018806928469811135,0.9948865708397014,-0.0018806928469810764,0.0004656041812474014,-0.0030373177524098804,-0.0007240679415522727,0.6340106618993077,0.6353358022960616,-0.001325140396753947,0.0003259861766128476,-0.00213493495161768,-0.0005153458418902143
umi_uma_mix,in_domain,-6.0,3,0.3297018828215422,0.3305193583170573,-0.0008174754955150854,0.997526694050002,-0.0008174754955150484,0.00035168931010841077,-0.0016911201736076638,5.6169182577567116e-05,0.5986761548268942,0.5991367793377534,-0.00046062451085926437,0.000331613653748213,-0.0012843984938974966,0.0003631494721789679
umi_uma_mix,in_domain,-4.0,3,0.2875178301775897,0.28746583726671004,5.199291087965019e-05,1.0001808663992007,5.1992910879613184e-05,0.0002928145890532445,-0.0006753988523655824,0.0007793846741248089,0.5482097632355161,0.5478472144883356,0.0003625487471804467,0.00031309431596980125,-0.0004152206504840603,0.0011403181448449537
umi_uma_mix,in_domain,-2.0,3,0.23997083122347607,0.23942094967689043,0.0005498815465856399,1.002296714415876,0.0005498815465856491,0.00025859620839036566,-9.250704681666407e-05,0.0011922701399879622,0.48040042008146827,0.4792962607778149,0.001104159303653392,0.0003231945173122717,0.0003012996149368394,0.0019070189923699448
umi_uma_mix,in_domain,0.0,3,0.18879869249131945,0.18787125010549285,0.0009274423858265934,1.0049365849500964,0.0009274423858265842,0.00021221613770222475,0.0004002682750986608,0.0014546164965545077,0.39604099757141537,0.39424868332751006,0.0017923142439053203,0.0003725577117530912,0.0008668295823012521,0.0027177989055093884
umi_uma_mix,in_domain,2.0,3,0.13774918921199847,0.13662131038712866,0.0011278788248698102,1.0082555116890173,0.0011278788248697917,0.00020067689883310216,0.000629369772582629,0.0016263878771569545,0.30113244029106917,0.2987791395481722,0.0023533007428969874,0.00040671779328062426,0.001342957734530717,0.0033636437512632577
umi_uma_mix,in_domain,4.0,3,0.0922350471402392,0.09101392015998747,0.00122112698025173,1.0134169254341006,0.0012211269802517393,0.00021239885287002963,0.0006934989798849459,0.0017487549806185325,0.20757393207814956,0.2049845462595975,0.0025893858185520777,0.00040016820019841374,0.0015953129013585574,0.003583458735745598
umi_uma_mix,in_domain,6.0,3,0.05676034056110146,0.05575123539677373,0.0010091051643277352,1.0181001399726135,0.0010091051643277376,0.0001809098721601952,0.0005597001284497645,0.0014585102002057106,0.12943129613995552,0.12702937345997786,0.002401922679977649,0.0003381542414872373,0.0015619009762792837,0.0032419443836760146
umi_uma_mix,in_domain,8.0,3,0.033155088071469906,0.03242068820529514,0.0007343998661747675,1.022652198544472,0.0007343998661747675,0.00016084926750085701,0.00033482813485344483,0.00113397159749609,0.07543416089021866,0.07354475806156795,0.0018894028286507158,0.00023099523597768063,0.0013155788517023126,0.0024632268055991193
